hsk_level,hanzi,pinyin,meaning
6,报酬,bàochou,reward; remuneration
6,报答,bàodá,repay; requite
6,报复,bàofu,retaliate; revenge
6,报警,bàojǐng,report (an incident) to the police
6,报销,bàoxiāo,submit an expense account; apply for reimbursement; write off
6,抱负,bàofù,aspiration; ambition
6,暴力,bàolì,violence; (use) force
6,暴露,bàolù,expose; reveal; lay bare
6,曝光,bàoguāng,to expose; to make public
6,爆发,bàofā,break out; erupt; explode
6,爆炸,bàozhà,explode; explosion; blow up
6,卑鄙,bēibǐ,base; mean; despicable
6,悲哀,bēi'āi,grieved; sorrowful; sad
6,悲惨,bēicǎn,miserable; tragic
6,北极,běijí,the North Pole
6,贝壳,bèiké,shell; conch; cowry
6,备份,bèifèn,to back up; a backup
6,备忘录,bèiwànglù,memorandum; aide-memoire; diplomacy memorandum
6,背叛,bèipàn,betray; forsake
6,背诵,bèisòng,recite
6,被动,bèidòng,passive
6,被告,bèigào,defendant
6,奔波,bēnbō,rush about; be busy running about
6,奔驰,bēnchí,run quickly; speed; Mercedes-Benz (German vehicle manufacturer)
6,本能,běnnéng,instinct
6,本钱,běnqián,capital (financial)
6,本人,běnrén,I; me; myself
6,本身,běnshēn,itself; in itself; per se
6,本事,běnshi,ability; skill; capability
6,笨拙,bènzhuō,clumsy; awkward; stupid
6,崩溃,bēngkuì,collapse; crumble; fall apart
6,甭,béng,need not; (contraction of 不 and 用)
6,迸发,bèngfā,burst forth; burst out
6,蹦,bèng,jump; bounce; hop
6,逼迫,bīpò,to force; compel; coerce
6,鼻涕,bítì,nasal mucus; snivel
6,比方,bǐfang,instance; analogy; example
6,比喻,bǐyù,metaphor; analogy; figure of speech
6,比重,bǐzhòng,proportion; specific gravity
6,鄙视,bǐshì,despise; disdain; look down upon
6,闭塞,bìsè,stop up; shelter from; hard to get to
6,弊病,bìbìng,malady; evil; malpractice
6,弊端,bìduān,malpractice; abuse; corrupt practice
6,臂,bì,arm
6,边疆,biānjiāng,border area; borderland; frontier
6,边界,biānjiè,boundary; border
6,边境,biānjìng,frontier
6,边缘,biānyuán,edge; fringe; verge
6,编织,biānzhī,to weave; to knit; to plait
6,鞭策,biāncè,spur on; urge on
6,贬低,biǎndī,to belittle; depreciate; disparage
6,贬义,biǎnyì,negative connotation; derogatory sense
6,扁,biǎn,flat
6,变故,biàngù,unforeseen event; accident
6,变迁,biànqiān,changes; vicissitude
6,变质,biàn zhì,go bad; deteriorate; metamorphism
6,便利,biànlì,convenient; easy; facilitate
6,便条,biàntiáo,informal note
6,便于,biànyú,be easy; be convenient for
6,遍布,biànbù,to cover the whole (area); found everywhere; spread all over
6,辨认,biànrèn,distinguish; identify; recognize
6,辩护,biànhù,speak in defense of; argue in favor of; defend
6,辩解,biànjiě,"explain; justify; defend (a point of view, etc.)"
6,辩证,biànzhèng,investigate; dialectical
6,辫子,biànzi,plait; braid; pigtail
6,标本,biāoběn,specimen; sample; the root cause and symptoms of a disease
6,标记,biāojì,sign; mark; symbol
6,标题,biāotí,title; header; headline
6,表决,biǎojué,decide by vote; vote
6,表态,biǎotài,make known one's position; declare where one stands
6,表彰,biǎozhāng,cite (in dispatches); commend
6,憋,biē,hold in (urine); hold (breath); choke
6,别墅,biéshù,villa
6,别致,biézhì,unique; unconventional; fancy
6,别扭,bièniu,awkward; unnatural
6,濒临,bīnlín,on the verge of
6,冰雹,bīngbáo,hail
6,丙,bǐng,bright; fire (3rd Heavenly Stem)
6,并非,bìngfēi,really isn't
6,并列,bìngliè,stand side by side; be juxtaposed
6,拨,bō,to dial; move with a hand/foot; stir
6,波浪,bōlàng,wave
6,波涛,bōtāo,great waves; billows
6,剥削,bōxuē,to exploit
6,播种,bōzhǒng,sow seeds; sowing; seed
6,伯母,bómǔ,aunt; wife of father's older brother
6,博大精深,bódàjīngshēn,broad and profound
6,博览会,bólǎnhuì,(international) exhibition
6,搏斗,bódòu,fight; struggle; wrestle
6,薄弱,bóruò,weak; frail
6,补偿,bǔcháng,compensation; make up
6,补救,bǔjiù,remedy; repair
6,补贴,bǔtiē,subsidy; allowance
6,捕捉,bǔzhuō,catch; to seize
6,哺乳,bǔrǔ,breast-feeding; to suckle
6,不得已,bùdéyǐ,act against one's will; have no alternative
6,不妨,bùfáng,there is no harm in; might as well
6,不敢当,bù gǎndāng,(literally) I dare not accept the honor; you flatter me
6,不顾,búgù,in spite of; regardless of; to disregard
6,不禁,bùjīn,cannot help; can't refrain from
6,不堪,bùkān,cannot bear/stand; utterly
6,不可思议,bùkěsīyì,unimaginable; inconceivable
6,不愧,búkuì,be worthy of; deserve to be called; prove oneself to be
6,不料,búliào,unexpectedly; to one's surprise
6,不免,bùmiǎn,unavoidable
6,不时,bùshí,frequently; often; at any time
6,不惜,bùxī,to not hesitate; not spare
6,不相上下,bù xiāng shàng xià,equally matched; about the same
6,不像话,búxiànghuà,unreasonable; absurd; outrageous
6,不屑一顾,búxièyígù,not worth seeing; disdain as beneath contempt
6,不言而喻,bùyán'éryù,it goes without saying; it is self-evident
6,不由得,bùyóude,can't help; cannot but
6,不择手段,bùzéshǒuduàn,by fair means or foul
6,不止,bùzhǐ,incessantly; more than
6,布告,bùgào,notice; bulletin
6,布局,bùjú,arrangement; composition; layout
6,布置,bùzhì,arrange; decorate; decoration
6,步伐,bùfá,pace; (measured) step; march
6,部署,bùshǔ,dispose; deploy
6,部位,bùwèi,position; place
6,才干,cáigàn,ability; competence
6,财富,cáifù,wealth; riches; fortune
6,财务,cáiwù,financial affairs
6,财政,cáizhèng,public finances; financial
6,裁缝,cáifeng,tailor; dressmaker
6,裁判,cáipàn,judge; to referee; judgment
6,裁员,cáiyuán,cut staff; lay off employees
6,采购,cǎigòu,make purchases for an organization; go shopping
6,采集,cǎijí,gather; collect
6,采纳,cǎinà,accept; adopt
6,彩票,cǎipiào,lottery; lottery ticket
6,参谋,cānmóu,advisor; give advice
6,参照,cānzhào,consult a reference; refer to (another document)
6,残疾,cánji,deformity; handicapped; crippled
6,残酷,cánkù,cruel
6,残留,cánliú,to remain; be left over; surplus
6,残忍,cánrěn,brutal; bloody; merciless
6,灿烂,cànlàn,to glitter; brilliant; splendid
6,仓促,cāngcù,hurried
6,仓库,cāngkù,depot; storehouse; warehouse
6,苍白,cāngbái,pale; wan; pallid
6,舱,cāng,cabin; hold (of a ship or airplane)
6,操劳,cāoláo,work hard; look after
6,操练,cāoliàn,to drill; to practice
6,操纵,cāozòng,operate; control; manipulation
6,操作,cāozuò,operate; manipulate
6,嘈杂,cáozá,noisy; raucous
6,草案,cǎo'àn,"draft (legislation, proposal, etc.)"
6,草率,cǎoshuài,cursory; careless; negligent
6,侧面,cèmiàn,side; profile; flank
6,测量,cèliáng,to survey; to measure
6,策划,cèhuà,plot; scheme; bring about
6,策略,cèlüè,tactics; plot
6,层出不穷,céng chū bù qióng,(idiom) emerge more and more; innumerable succession; breeding like flies
6,层次,céngcì,level; rank order; standing
6,差别,chābié,difference; disparity
6,插座,chāzuò,power socket
6,查获,cháhuò,investigate and capture a criminal; discover
6,岔,chà,fork in the road; turn off; diverge
6,刹那,chànà,an instant (Sanskrit: ksana); split second
6,诧异,chàyì,flabbergasted; astonished
6,柴油,cháiyóu,diesel fuel; kerosene
6,搀,chān,assist by the arm; mix; support
6,馋,chán,gluttonous; greedy
6,缠绕,chánrào,bind; wind; twirl
6,产业,chǎnyè,industry; estate; property
6,阐述,chǎnshù,expound (a position); elaborate (on a topic)
6,颤抖,chàndǒu,tremble; to shiver; to shake
6,昌盛,chāngshèng,prosperous
6,尝试,chángshì,to try; attempt
6,偿还,chánghuán,repay; reimburse
6,场合,chǎnghé,occasion; situation
6,场面,chǎngmiàn,scene; occasion
6,场所,chǎngsuǒ,location; place
6,敞开,chǎngkāi,open wide
6,畅通,chàngtōng,unimpeded; unclogged; free-flowing
6,畅销,chàngxiāo,best seller; chart-topping; very marketable
6,倡导,chàngdǎo,to advocate; propose
6,倡议,chàngyì,suggest; propose
6,钞票,chāopiào,paper money; bill
6,超越,chāoyuè,surpass; exceed; transcend
6,巢穴,cháoxué,lair; nest; den
6,朝代,cháodài,dynasty; reign (of a king)
6,嘲笑,cháoxiào,jeer; mock; scoff
6,潮流,cháoliú,tide; current; trend
6,撤退,chètuì,retreat
6,撤销,chèxiāo,repeal
6,沉淀,chéndiàn,to precipitate (solid sediment out of a solution); to settle
6,沉闷,chénmèn,oppressive (of weather); heavy; depressed
6,沉思,chénsī,ponder; contemplate; meditation
6,沉重,chénzhòng,heavy; hard; serious
6,沉着,chénzhuó,calm and collected; not nervous
6,陈旧,chénjiù,old fashioned; outmoded; obsolete
6,陈列,chénliè,to display; to exhibit
6,陈述,chénshù,allegation; assertation; to declare
6,衬托,chèntuō,to set off; serve as a foil to
6,称心如意,chènxīnrúyì,find sth. satisfactory
6,称号,chēnghào,title; term of address
6,成本,chéngběn,"cost (manufacturing, production, etc.)"
6,成交,chéngjiāo,complete a contract; clinch a deal; to seal
6,成天,chéngtiān,all day long; all the time
6,成效,chéngxiào,effect; result
6,成心,chéngxīn,intentional; deliberate; with prior intent
6,成员,chéngyuán,member
6,呈现,chéngxiàn,appear; emerge; present (a certain appearance)
6,诚挚,chéngzhì,sincere; cordial; earnest
6,承办,chéngbàn,undertake; accept an assignment
6,承包,chéngbāo,to contract (to undertake a job)
6,承诺,chéngnuò,to promise
6,城堡,chéngbǎo,castle
6,乘,chéng,to ride; to mount; make use of
6,盛,"chéng, shèng",contain; to ladle; to fill
6,惩罚,chéngfá,penalty; punishment; to punish
6,澄清,chéngqīng,(of liquid) settle; become clear; (Chem.) precipitate
6,橙,chéng,"orange (color); orange (fruit, tree)"
6,秤,chèng,balance; scale; steelyard
6,吃苦,chī kǔ,bear hardships; suffer
6,吃力,chīlì,strenuous; exhausted
6,迟钝,chídùn,slow (witted); stupid; dull
6,迟缓,chíhuǎn,slow; sluggish
6,迟疑,chíyí,hesitate
6,持久,chíjiǔ,duration; enduring; lasting
6,赤道,chìdào,the equator
6,赤字,chìzì,(financial) deficit; red ink
6,冲动,chōngdòng,impulsive; act on impulse
6,冲击,chōngjī,attack; impact; a shock
6,冲突,chōngtū,conflict; clash
6,充当,chōngdāng,serve as; play the part of
6,充沛,chōngpèi,abundant; plentiful; vigorous
6,充实,chōngshí,substantial; rich; enrich
6,充足,chōngzú,adequate; sufficient; abundant
6,重叠,chóngdié,to overlap
6,崇拜,chóngbài,worship; adore
6,崇高,chónggāo,lofty; sublime
6,崇敬,chóngjìng,revere; admire; veneration
6,稠密,chóumì,dense; thick
6,筹备,chóubèi,make preparations; get ready for something
6,丑恶,chǒu'è,ugly; repulsive; odiousness
6,出路,chūlù,a way out; outlet
6,出卖,chūmài,sell; betray; sell out
6,出身,chūshēn,family background; class origin
6,出神,chū shén,be lost in thought; entranced; preoccupation
6,出息,chūxi,future prospects; aspiration; promise
6,初步,chūbù,initial; preliminary; tentative
6,除,chú,besides; except; remove
6,处分,chǔfèn,punish; punishment; discipline
6,处境,chǔjìng,plight; unfavorable situation
6,处置,chǔzhì,to handle; take care of; punish
6,储备,chǔbèi,reserves; store up
6,储存,chǔcún,stockpile; to store
6,储蓄,chǔxù,to save; to deposit
6,触犯,chùfàn,offend; violate
6,川流不息,chuān liú bù xī,(saying) flowing of an endless stream
6,穿越,chuānyuè,pass through; cut across
6,传达,chuándá,convey; transmit; communicate
6,传单,chuándān,leaflet; flier; pamphlet
6,传授,chuánshòu,impart; pass on; teach
6,船舶,chuánbó,ships; boats; watercraft
6,喘气,chuǎnqì,to pant; gasp for breath
6,串,chuàn,string together; conspire; gang up
6,床单,chuángdān,bed sheet
6,创立,chuànglì,to found; establish
6,创新,chuàngxīn,innovate; innovation
6,创业,chuàngyè,begin an undertaking; start a major task; start a company
6,创作,chuàngzuò,create; to produce; creative work
6,吹牛,chuī niú,to brag; (regional) to chat
6,吹捧,chuīpěng,flatter sb; extol sb.'s accomplishments
6,炊烟,chuīyān,smoke from kitchen chimneys
6,垂直,chuízhí,perpendicular; vertical
6,锤,chuí,hammer; weight
6,纯粹,chúncuì,purely; pure
6,纯洁,chúnjié,pure; unadulterated; cleanse
6,慈善,císhàn,philanthropic; benevolent; charitable
6,慈祥,cíxiáng,a kindly person; benevolent (often of older people)
6,磁带,cídài,cassette tape
6,雌雄,cíxióng,male and female; winners and losers
6,次品,cìpǐn,defective or substandard products
6,次序,cìxù,sequence; order
6,伺候,cìhou,serve; wait upon; act as a valet
6,刺,cì,thorn; to sting; to prick
6,从容,cóngróng,leisurely; calm
6,丛,cóng,crowd together; thicket; collection
6,凑合,còuhe,bring together; make do in a bad situation; improvise
6,粗鲁,cūlǔ,crude; coarse; rough
6,窜,cuàn,to flee; to escape; run away
6,摧残,cuīcán,to ruin; devastate; vandalize
6,脆弱,cuìruò,weak; fragile; flimsy
6,搓,cuō,rub or roll between the hands or fingers; to twist
6,磋商,cuōshāng,discuss seriously; consult; negotiate
6,挫折,cuòzhé,setback; defeat; frustration
6,搭,dā,"to erect; to build; travel by (car, plane, etc.)"
6,搭档,dādàng,team up; cooperate; work together
6,搭配,dāpèi,pair up; arrange in pairs; to add sth. into a group
6,达成,dá chéng,to reach (an agreement); achieve
6,答辩,dábiàn,reply (to an accusation)
6,答复,dáfù,to answer; to reply
6,打包,dǎbāo,get a doggy bag (at a restaurant); pack up
6,打官司,dǎ guānsi,go to court
6,打击,dǎjī,to strike; to hit; to attack
6,打架,dǎ jià,to fight; scuffle; to come to blows
6,打量,dǎliang,take measure of; size up
6,打猎,dǎ liè,hunt; to go hunting
6,打仗,dǎzhàng,fight; go to war; fight a battle
6,大不了,dàbuliǎo,"at the worst; if worst comes to worst; serious, alarming"
6,大臣,dàchén,chancellor
6,大伙儿,dàhuǒr,everyone
6,大肆,dàsì,wantonly; without any constraint
6,大体,dàtǐ,in general; more or less; on the whole
6,大意,dàyì,main idea; general idea; gist
6,大致,dàzhì,more or less; roughly; approximately
6,歹徒,dǎitú,evil person who commits crimes; villain; gangster
6,代价,dàijià,price; cost; expense
6,代理,dàilǐ,acting (temporarily filling a position); agent
6,带领,dàilǐng,to guide; to lead
6,怠慢,dàimàn,to slight; give somebody a cold shoulder; treat somebody in a cold manner
6,逮捕,dàibǔ,to arrest; to capture
6,担保,dānbǎo,guarantee; vouch for
6,胆怯,dǎnqiè,timid; coward
6,诞辰,dànchén,birthday
6,诞生,dànshēng,be born; come into being
6,淡季,dànjì,off season; slow business season
6,淡水,dànshuǐ,fresh water; potable water (water with low salt content)
6,蛋白质,dànbáizhì,protein
6,当场,dāngchǎng,at the scene; on the spot
6,当初,dāngchū,at that time; at the outset; originally
6,当代,dāngdài,present day; contemporary
6,当面,dāng miàn,to sb.'s face; in sb.'s presence
6,当前,dāngqián,current; modern; present
6,当事人,dāngshìrén,persons involved or implicated; party (to an affair)
6,当务之急,dāngwùzhījí,the most pressing matter of the moment; a top priority task; urgent matter
6,当选,dāngxuǎn,be elected
6,党,dǎng,party; club; association
6,档案,dàng'àn,file; record; archive
6,档次,dàngcì,grade; quality; class
6,导弹,dǎodàn,guided missile; cruise missile
6,导航,dǎoháng,navigation
6,导向,dǎoxiàng,guidance; lead to; direct something towards
6,捣乱,dǎo luàn,cause a disturbance; look for trouble
6,倒闭,dǎobì,go bankrupt; close down
6,盗窃,dàoqiè,steal; pilfer
6,稻谷,dàogǔ,rice crops/paddy
6,得不偿失,dé bù cháng shī,the gains do not outweigh the losses
6,得力,délì,able; competent
6,得天独厚,détiāndúhòu,enjoy exceptional advantages; richly endowed by nature
6,得罪,dézuì,offend; a faux pas
6,灯笼,dēnglong,lantern
6,登陆,dēnglù,to land; come ashore; sign/log in
6,登录,dēnglù,sign-in
6,蹬,dēng,press down with the foot; step back or into something
6,等候,děnghòu,wait; queue
6,等级,děngjí,degree; rate
6,瞪,dèng,stare at; to glower
6,堤坝,dībà,dam; dyke
6,敌视,díshì,be hostile; adopt a negative attitude towards
6,抵达,dǐdá,arrive; to reach (a destination); touch down
6,抵抗,dǐkàng,resist; resistance
6,抵制,dǐzhì,resistance; refusal (to cooperate); boycott
6,地步,dìbù,condition; plight; extent
6,地势,dìshì,terrain; topography of a place
6,地质,dìzhì,geology
6,递增,dìzēng,increase step by step; steadily increase
6,颠簸,diānbǒ,shake; to jolt; bump
6,颠倒,diāndǎo,turn upside down; upend
6,典礼,diǎnlǐ,celebration; ceremony
6,典型,diǎnxíng,typical case; model
6,点缀,diǎnzhuì,decorate; an ornament; beautify
6,电源,diànyuán,electric power supply
6,垫,diàn,cushion; to pad; pay for somebody and expect to be repaid
6,惦记,diànjì,to remember with concern; to be concerned about; to think about
6,奠定,diàndìng,establish; to found; to settle
6,叼,diāo,hold sth. in the mouth
6,雕刻,diāokè,carve; engrave; sculpt
6,雕塑,diāosù,sculpture; a statue; a Buddhist image
6,吊,diào,hang; suspend
6,调动,diàodòng,"to transfer; to maneuver (troops, etc.)"
6,跌,diē,to fall down; to drop
6,丁,dīng,male adult; robust; cubes (of food)
6,叮嘱,dīngzhǔ,urge again and again; exhort; repeatedly warn
6,盯,dīng,to stare; to gaze
6,定期,dìngqī,regularly; at regular intervals
6,定义,dìngyì,definition
6,丢人,diū rén,lose face; be disgraced
6,丢三落四,diūsān làsì,forgetful; scatterbrained
6,东道主,dōngdàozhǔ,host for a party or conference
6,东张西望,dōngzhāngxīwàng,look in all directions; glance around
6,董事长,dǒngshìzhǎng,chairman of the board
6,动荡,dòngdàng,(social or political) turmoil; unrest; upheaval
6,动机,dòngjī,motive; motivation; intention
6,动静,dòngjìng,sound of activity; activity
6,动力,dònglì,power; motion; impetus
6,动脉,dòngmài,artery
6,动身,dòng shēn,go on a journey; leave
6,动手,dòngshǒu,get to work; to touch; strike a blow
6,动态,dòngtài,development; trend; dynamic state
6,动员,dòngyuán,mobilize
6,冻结,dòngjié,"(loan, wage, price) freeze"
6,栋,dòng,roof beam; (mw for buildings)
6,兜,dōu,pocket; bag; wrap up (in a piece of cloth)
6,陡峭,dǒuqiào,steep; precipitous
6,斗争,dòuzhēng,to struggle; to fight for; to battle
6,督促,dūcù,supervise and urge sb. to complete a task
6,毒品,dúpǐn,drugs; narcotics; poison
6,独裁,dúcái,dictatorship
6,堵塞,dǔsè,block; stop
6,赌博,dǔbó,to gamble
6,杜绝,dùjué,put an end to
6,端,duān,end; beginning; extremity
6,端午节,Duānwǔ Jié,Dragon Boat Festival
6,端正,duānzhèng,upright; regular; proper
6,短促,duǎncù,short in time duration; fleeting; brief
6,断定,duàndìng,conclude; determine; figure out
6,断绝,duànjué,sever; break off
6,堆积,duījī,pile up; accumulate
6,队伍,duìwu,ranks; troops
6,对策,duìcè,countermeasure for dealing with a situation
6,对称,duìchèn,symmetry
6,对付,duìfu,to handle; deal with
6,对抗,duìkàng,withstand; resist; antagonize
6,对立,duìlì,oppose; to counter
6,对联,duìlián,rhyming couplet; vertical written couplet usually placed along either side of a doorway
6,对应,duìyìng,corresponding; counterpart
6,对照,duìzhào,contrast; compare
6,兑现,duìxiàn,cash a check; honor a commitment
6,顿时,dùnshí,immediately; suddenly
6,多元化,duōyuánhuà,diversify; diversification
6,哆嗦,duōsuo,tremble; to shiver; to quiver
6,堕落,duòluò,morally degenerate; become depraved
6,额外,éwài,extra; added; additional
6,恶心,ěxin,disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit
6,恶化,èhuà,worsen; deteriorate
6,遏制,èzhì,keep within limits; contain; restrain
6,恩怨,ēnyuàn,grievance; old rivalry; mixture of gratitude and resentment
6,而已,éryǐ,that's all; nothing more
6,二氧化碳,èryǎnghuàtàn,carbon dioxide; CO2
6,发布,fābù,issue; announce; release
6,发财,fā cái,get rich
6,发呆,fādāi,stare blankly; daze off
6,发动,fādòng,to start; to launch; mobilize
6,发觉,fājué,discover; detect
6,发射,fāshè,to launch; to shoot (a projectile); to fire (a rocket)
6,发誓,fāshì,to vow; to pledge; swear
6,发行,fāxíng,publish; to issue; distribute
6,发炎,fāyán,become inflamed from infection or injury
6,发扬,fāyáng,develop; make full use of; to carry on
6,发育,fāyù,develop; growth
6,法人,fǎrén,"legal entity (i.e., a corporation)"
6,番,fān,(mw for acts or deeds); foreign
6,凡是,fánshì,every; any; all
6,繁华,fánhuá,flourishing; bustling; prosperous
6,繁忙,fánmáng,busy; bustling
6,繁体字,fántǐzì,traditional Chinese character
6,繁殖,fánzhí,propagate; to breed; reproduce
6,反驳,fǎnbó,retort; refute
6,反常,fǎncháng,abnormal; unusual
6,反感,fǎngǎn,(strongly) dislike
6,反抗,fǎnkàng,resist; to revolt
6,反馈,fǎnkuì,feedback; send information back
6,反面,fǎnmiàn,the reverse side of sth; opposite side of a topic
6,反射,fǎnshè,"reflex; reflection (from a mirror, etc.)"
6,反思,fǎnsī,think back over something that happened; to reflect; introspection
6,反问,fǎnwèn,ask a rhetorical question; answer a question with a question
6,反之,fǎnzhī,whereas; on the other hand; conversely
6,泛滥,fànlàn,to be in flood; to overflow (the banks); to inundate
6,范畴,fànchóu,category
6,贩卖,fànmài,sell; peddle; (often derogatory) to traffic in
6,方位,fāngwèi,position; direction; points of the compass
6,方言,fāngyán,dialect
6,方圆,fāngyuán,circumference; neighborhood; vicinity
6,方针,fāngzhēn,policy; guidelines
6,防守,fángshǒu,to defend; protect; to guard
6,防御,fángyù,defense; resist; to guard
6,防止,fángzhǐ,prevent; protect; guard against
6,防治,fángzhì,prevent and cure
6,访问,fǎngwèn,to visit; call on; to interview
6,纺织,fǎngzhī,spinning and weaving; textile
6,放大,fàngdà,enlarge; amplify
6,放射,fàngshè,radiate; radioactive
6,飞禽走兽,fēiqínzǒushòu,birds and animals; the beasts of the field and the birds of the air
6,飞翔,fēixiáng,fly; hover
6,飞跃,fēiyuè,to leap
6,非法,fēifǎ,illegal
6,肥沃,féiwò,fertile
6,诽谤,fěibàng,slander; libel
6,肺,fèi,lung
6,废除,fèichú,abolish; annul; abrogate
6,废寝忘食,fèiqǐnwàngshí,to forget even sleeping and eating
6,废墟,fèixū,ruins
6,沸腾,fèiténg,to boil; boiling
6,分辨,fēnbiàn,distinguish; differentiate; resolve
6,分寸,fēncun,propriety; the limits of proper speech or action
6,分红,fēn hóng,a bonus; to award a bonus; to draw or recieve dividends
6,分解,fēnjiě,to decompose; to resolve; to break down
6,分裂,fēnliè,split up; to divide; separate
6,分泌,fēnmì,secrete
6,分明,fēnmíng,clear; distinct; evidently
6,分歧,fēnqí,difference (of opinion/position）
6,分散,fēnsàn,to scatter; disperse; distribute
6,吩咐,fēnfù,instruct; instructions; to tell
6,坟墓,fénmù,tomb; sepulcher
6,粉末,fěnmò,fine powder; dust
6,粉色,fěnsè,pink
6,粉碎,fěnsuì,to crash; break up
6,分量,fènliàng,weight; heft; amount
6,愤怒,fènnù,angry; indignant; furious
6,丰满,fēngmǎn,plump; well developed; plentiful
6,丰盛,fēngshèng,sumptuous; lavish
6,丰收,fēngshōu,bumper crop; have a good harvest
6,风暴,fēngbào,storm; violent commotion
6,风度,fēngdù,elegant demeanor; grace; poise
6,风光,fēngguāng,a natural scenic view; sight
6,风气,fēngqì,general mood; atmosphere; common practice
6,风趣,fēngqù,humor; wit; humorous
6,风土人情,fēngtǔrénqíng,local conditions (human and environmental)
6,风味,fēngwèi,local flavor; local style
6,封闭,fēngbì,to seal; to close; confine
6,封建,fēngjiàn,feudal; feudalism
6,封锁,fēngsuǒ,to blockade; to seal off
6,锋利,fēnglì,sharp (i.e. a knife blade); incisive; to the point
6,逢,féng,to meet; come upon
6,奉献,fèngxiàn,consecrate; dedicate; devote
6,否决,fǒujué,veto; reject; overrule
6,夫妇,fūfù,married couple; husband and wife
6,夫人,fūrén,lady; madam; Mrs
6,敷衍,fūyǎn,to elaborate (on a theme); to expound (the classics); to do sth. half-heartedly or just for show
6,服从,fúcóng,to obey; to comply
6,服气,fúqì,be convinced
6,俘虏,fúlǔ,captive; prisoner
6,符号,fúhào,symbol; mark; sign
6,幅度,fúdù,width; margin; extent
6,辐射,fúshè,radiation
6,福利,fúlì,material benefits; welfare; well-being
6,福气,fúqì,good fortune
6,抚摸,fǔmō,gently caress and stroke; to pet; to fondle
6,抚养,fǔyǎng,foster; bring up; raise
6,俯视,fǔshì,look down at; overlook
6,辅助,fǔzhù,assist; aide
6,腐败,fǔbài,corruption; corrupt; rotten
6,腐烂,fǔlàn,rot; become gangrenous
6,腐蚀,fǔshí,erode; corrode; corrupt
6,腐朽,fǔxiǔ,rotten; decayed; decadent
6,负担,fùdān,to (bear a) burden; carry; a load
6,附和,fùhè,repeat an agreement; copy sb.'s action or words
6,附件,fùjiàn,attachment; enclosure
6,附属,fùshǔ,subsidiary; auxiliary; affiliate
6,复活,fùhuó,resurrection
6,复兴,fùxīng,revive; restore
6,副,fù,vice-; secondary; auxiliary
6,赋予,fùyǔ,confer upon; bestow; endow
6,富裕,fùyù,rich; to prosper; wealthy
6,腹泻,fùxiè,diarrhea
6,覆盖,fùgài,to cover
6,改良,gǎiliáng,improve; to reform
6,钙,gài,calcium
6,盖章,gàizhāng,affix one's seal; seal; stamp
